X,Y,Bears_ID,location_n,loc_year,loc_month,loc_day
430539.0,5956546.0,265,463,2000,8,26.0
438404.20207490976,5951121.953195488,265,466,2000,8,27.0
439717.765788113,5952033.162477285,265,467,2000,8,27.0
435183.0,5955180.0,265,464,2000,8,27.0
416204.0,5961627.0,265,461,2000,8,26.0
432544.0,5956162.0,265,459,2000,8,25.0
422932.0,5957658.0,265,460,2000,8,26.0
440436.0,5952332.0,265,458,2000,8,25.0
435178.0,5955214.0,265,465,2000,8,27.0
441694.22352405,5953143.779336577,265,469,2000,8,27.0
439817.8896390743,5954623.832004668,265,468,2000,8,27.0
441161.0,5953076.0,265,457,2000,8,25.0
422724.0,5961402.0,265,462,2000,8,26.0
441687.22352405,5953132.779336577,265,470,2000,8,28.0
